Anno;Cittadinanza;Area;Provenienza;Sesso;Numero Immigrati
2005;Marocco;Africa settentrionale;Provincia di Reggio Emilia;Femmine;1
2005;Moldova;Altri Paesi Europa;Estero;Maschi;97
2005;Nigeria;Altri paesi Africa;Lazio;Maschi;2
2005;Pakistan;Altri paesi Asia;Lombardia;Maschi;1
2005;Pakistan;Altri paesi Asia;Provincia di Bologna;Maschi;29
2005;Perù;America meridionale;Estero;Maschi;30
2005;Polonia;Unione Europea;Piemonte;Femmine;1
2005;Portogallo;Unione Europea;Estero;Maschi;1
2005;Rep. Dem. del Congo (Zaire);Altri paesi Africa;Estero;Maschi;7
2005;Rep. Dem. del Congo (Zaire);Altri paesi Africa;Provincia di Bologna;Maschi;1
2005;Romania;Altri Paesi Europa;Lombardia;Maschi;2
2005;Russia (Federazione);Altri Paesi Europa;Sicilia;Maschi;1
2005;Sri Lanka (Ceylon);Altri paesi Asia;Veneto;Maschi;3
2005;Stati Uniti;America settentrionale;Friuli Venezia Giulia;Maschi;1
2005;Ucraina;Altri Paesi Europa;Estero;Maschi;43
2005;Venezuela;America meridionale;Provincia di Bologna;Femmine;2
2006;Albania;Altri Paesi Europa;Provincia di Forlì-Cesena;Maschi;2
2006;Algeria;Africa settentrionale;Lombardia;Maschi;1
2006;Armenia;Asia occidentale;Estero;Maschi;1
2006;Bangladesh;Altri paesi Asia;Lombardia;Femmine;1
2006;Bangladesh;Altri paesi Asia;Provincia di Bologna;Femmine;7
2006;Bangladesh;Altri paesi Asia;Toscana;Maschi;2
2006;Cina;Altri paesi Asia;Piemonte;Femmine;3
2006;Croazia;Altri Paesi Europa;Estero;Maschi;2
2006;Danimarca;Unione Europea;Estero;Maschi;1
2006;Ecuador;America meridionale;Provincia di Bologna;Maschi;3
2006;Egitto;Africa settentrionale;Estero;Maschi;38
2006;Egitto;Africa settentrionale;Provincia di Ferrara;Maschi;1
2006;Eritrea;Altri paesi Africa;Estero;Maschi;58
2006;Filippine;Altri paesi Asia;Provincia di Ravenna;Femmine;1
2006;Filippine;Altri paesi Asia;Sicilia;Maschi;2
2006;Iran;Altri paesi Asia;Provincia di Bologna;Maschi;4
2006;Libano;Asia occidentale;Estero;Maschi;12
2006;Marocco;Africa settentrionale;Lazio;Maschi;1
2006;Marocco;Africa settentrionale;Lombardia;Maschi;1
2006;Marocco;Africa settentrionale;Provincia di Ferrara;Femmine;2
2006;Messico;America centrale;Sardegna;Femmine;1
2006;Moldova;Altri Paesi Europa;Abruzzo;Maschi;1
2006;Moldova;Altri Paesi Europa;Provincia di Ravenna;Femmine;2
2006;Moldova;Altri Paesi Europa;Veneto;Femmine;9
2006;Norvegia;Altri Paesi Europa;Estero;Femmine;1
2006;Paesi Bassi;Unione Europea;Veneto;Femmine;1
2006;Paraguay;America meridionale;Estero;Maschi;1
2006;Polonia;Unione Europea;Lazio;Femmine;1
2006;Romania;Altri Paesi Europa;Lombardia;Maschi;1
2006;Romania;Altri Paesi Europa;Puglia;Maschi;1
2006;Russia (Federazione);Altri Paesi Europa;Provincia di Ferrara;Femmine;3
2006;Senegal;Altri paesi Africa;Lombardia;Maschi;2
2006;Serbia-Montenegro;Altri Paesi Europa;Puglia;Femmine;3
2007;Cina;Altri paesi Asia;Abruzzo;Maschi;5
2007;Cina;Altri paesi Asia;Lombardia;Maschi;5
2007;Cina;Altri paesi Asia;Marche;Maschi;6
2007;Cina;Altri paesi Asia;Provincia di Bologna;Femmine;26
2007;Cina;Altri paesi Asia;Provincia di Ravenna;Maschi;1
2007;Congo;Altri paesi Africa;Estero;Femmine;4
2007;Congo;Altri paesi Africa;Toscana;Maschi;1
2007;Ecuador;America meridionale;Provincia di Bologna;Maschi;1
2007;Egitto;Africa settentrionale;Lombardia;Maschi;2
2007;Filippine;Altri paesi Asia;Estero;Femmine;41
2007;Filippine;Altri paesi Asia;Estero;Maschi;72
2007;Filippine;Altri paesi Asia;Provincia di Forlì-Cesena;Femmine;1
2007;Filippine;Altri paesi Asia;Umbria;Maschi;1
2007;Francia;Unione Europea;Provincia di Ravenna;Maschi;1
2007;Ghana;Altri paesi Africa;Estero;Maschi;3
2007;Libano;Asia occidentale;Estero;Femmine;1
2007;Marocco;Africa settentrionale;Campania;Maschi;2
2007;Pakistan;Altri paesi Asia;Provincia di Bologna;Maschi;34
2007;Perù;America meridionale;Umbria;Femmine;1
2007;Romania;Unione Europea;Estero;Maschi;709
2007;Stati Uniti;America settentrionale;Liguria;Maschi;1
2007;Svizzera;Altri Paesi Europa;Lazio;Maschi;2
2007;Tunisia;Africa settentrionale;Estero;Maschi;35
2007;Ucraina;Altri Paesi Europa;Basilicata;Femmine;2
2007;Ucraina;Altri Paesi Europa;Toscana;Femmine;4
2007;Venezuela;America meridionale;Estero;Femmine;2
2008;Albania;Altri Paesi Europa;Campania;Femmine;1
2008;Albania;Altri Paesi Europa;Puglia;Femmine;1
2008;Austria;Unione Europea;Estero;Maschi;4
2008;Cina;Altri paesi Asia;Lazio;Maschi;1
2008;Congo;Altri paesi Africa;Estero;Maschi;3
2008;Cuba;America centrale;Abruzzo;Femmine;1
2008;Ecuador;America meridionale;Estero;Femmine;19
2008;Ecuador;America meridionale;Provincia di Bologna;Femmine;4
2008;Egitto;Africa settentrionale;Piemonte;Maschi;1
2008;Eritrea;Altri paesi Africa;Provincia di Modena;Maschi;1
2008;Filippine;Altri paesi Asia;Abruzzo;Femmine;1
2008;Georgia;Asia occidentale;Provincia di Bologna;Femmine;1
2008;Germania;Unione Europea;Provincia di Ravenna;Maschi;1
2008;Indonesia;Altri paesi Asia;Estero;Maschi;1
2008;Irlanda;Unione Europea;Estero;Maschi;4
2008;Kirghizistan;Asia occidentale;Estero;Femmine;2
2008;Maurizio;Altri paesi Africa;Estero;Femmine;1
2008;Maurizio;Altri paesi Africa;Sicilia;Maschi;1
2008;Moldova;Altri Paesi Europa;Estero;Maschi;222
2008;Moldova;Altri Paesi Europa;Umbria;Femmine;2
2008;Pakistan;Altri paesi Asia;Provincia di Ferrara;Maschi;16
2008;Perù;America meridionale;Abruzzo;Femmine;1
2008;Perù;America meridionale;Provincia di Bologna;Maschi;5
2008;Perù;America meridionale;Provincia di Reggio Emilia;Femmine;1
2008;Polonia;Unione Europea;Lazio;Femmine;2
2008;Polonia;Unione Europea;Liguria;Femmine;1
2008;Polonia;Unione Europea;Puglia;Femmine;1
2008;Rep. Dominicana;America centrale;Lombardia;Femmine;1
2008;Romania;Unione Europea;Umbria;Maschi;3
2008;Russia (Federazione);Altri Paesi Europa;Provincia di Bologna;Femmine;9
2009;Egitto;Africa settentrionale;Provincia di Modena;Maschi;2
2009;Filippine;Altri paesi Asia;Veneto;Femmine;3
2009;Germania;Unione Europea;Campania;Femmine;1
2009;Grecia;Unione Europea;Provincia di Bologna;Maschi;1
2009;Guinea;Altri paesi Africa;Provincia di Bologna;Maschi;1
2009;Iran;Altri paesi Asia;Calabria;Femmine;2
2009;Israele;Asia occidentale;Estero;Maschi;2
2009;Lituania;Unione Europea;Marche;Femmine;1
2009;Lituania;Unione Europea;Provincia di Reggio Emilia;Femmine;1
2009;Marocco;Africa settentrionale;Liguria;Femmine;1
2009;Moldova;Altri Paesi Europa;Provincia di Ravenna;Femmine;3
2009;Moldova;Altri Paesi Europa;Provincia di Ravenna;Maschi;2
2009;Moldova;Altri Paesi Europa;Toscana;Maschi;1
2009;Nigeria;Altri paesi Africa;Campania;Femmine;1
2009;Pakistan;Altri paesi Asia;Provincia di Ravenna;Maschi;1
2009;Perù;America meridionale;Lazio;Maschi;1
2009;Rep. Dominicana;America centrale;Estero;Femmine;5
2009;Rep. Sudafricana;Altri paesi Africa;Estero;Femmine;1
2009;Romania;Unione Europea;Provincia di Modena;Maschi;10
2009;Russia (Federazione);Altri Paesi Europa;Calabria;Femmine;1
2009;Sri Lanka (Ceylon);Altri paesi Asia;Campania;Femmine;1
2009;Sudan;Africa settentrionale;Sicilia;Femmine;1
2009;Svezia;Unione Europea;Estero;Femmine;4
2009;Ucraina;Altri Paesi Europa;Campania;Femmine;27
2009;Ucraina;Altri Paesi Europa;Provincia di Bologna;Femmine;59
2009;Ucraina;Altri Paesi Europa;Provincia di Bologna;Maschi;9
2009;Ucraina;Altri Paesi Europa;Puglia;Femmine;1
2010;Albania;Altri Paesi Europa;Umbria;Maschi;5
2010;Bangladesh;Altri paesi Asia;Provincia di Ferrara;Maschi;7
2010;Brasile;America meridionale;Campania;Femmine;1
2010;Camerun;Altri paesi Africa;Provincia di Ferrara;Maschi;1
2010;Cina;Altri paesi Asia;Marche;Femmine;7
2010;Cina;Altri paesi Asia;Provincia di Ferrara;Maschi;3
2010;Congo;Altri paesi Africa;Lombardia;Femmine;1
2010;Croazia;Altri Paesi Europa;Sicilia;Maschi;1
2010;Eritrea;Altri paesi Africa;Estero;Femmine;18
2010;Eritrea;Altri paesi Africa;Lazio;Femmine;6
2010;Eritrea;Altri paesi Africa;Toscana;Femmine;1
2010;Estonia;Unione Europea;Lombardia;Maschi;1
2010;Filippine;Altri paesi Asia;Provincia di Ravenna;Maschi;2
2010;Giappone;Altri paesi Asia;Estero;Femmine;11
2010;Guatemala;America centrale;Estero;Femmine;1
2010;Lettonia;Unione Europea;Provincia di Bologna;Femmine;1
2010;Lituania;Unione Europea;Estero;Maschi;1
2010;Marocco;Africa settentrionale;Estero;Maschi;129
2010;Moldova;Altri Paesi Europa;Friuli Venezia Giulia;Femmine;1
2010;Moldova;Altri Paesi Europa;Lombardia;Maschi;1
2010;Moldova;Altri Paesi Europa;Provincia di Reggio Emilia;Femmine;1
2010;Montenegro;Altri Paesi Europa;Puglia;Femmine;1
2010;Nigeria;Altri paesi Africa;Provincia di Modena;Maschi;1
2010;Paesi Bassi;Unione Europea;Estero;Femmine;5
2010;Pakistan;Altri paesi Asia;Friuli Venezia Giulia;Maschi;1
2010;Pakistan;Altri paesi Asia;Provincia di Bologna;Femmine;12
2010;Pakistan;Altri paesi Asia;Provincia di Bologna;Maschi;41
2010;Pakistan;Altri paesi Asia;Provincia di Modena;Maschi;1
2010;Pakistan;Altri paesi Asia;Provincia di Rimini;Maschi;1
2010;Perù;America meridionale;Lombardia;Maschi;2
2010;Perù;America meridionale;Provincia di Piacenza;Femmine;1
2010;Polonia;Unione Europea;Provincia di Ravenna;Femmine;2
2010;Rep. Ceca;Unione Europea;Estero;Maschi;2
2010;Romania;Unione Europea;Calabria;Femmine;1
2010;Romania;Unione Europea;Lazio;Maschi;4
2010;Romania;Unione Europea;Molise;Femmine;1
2010;Romania;Unione Europea;Provincia di Ravenna;Femmine;1
2010;Russia (Federazione);Altri Paesi Europa;Provincia di Bologna;Femmine;8
2010;Sri Lanka (Ceylon);Altri paesi Asia;Provincia di Ravenna;Maschi;1
2010;Stati Uniti;America settentrionale;Estero;Femmine;14
2010;Tanzania;Altri paesi Africa;Provincia di Bologna;Femmine;2
2010;Tanzania;Altri paesi Africa;Provincia di Bologna;Maschi;3
2010;Tunisia;Africa settentrionale;Estero;Maschi;35
2010;Tunisia;Africa settentrionale;Lombardia;Femmine;2
2010;Ucraina;Altri Paesi Europa;Abruzzo;Femmine;1
2011;Albania;Altri Paesi Europa;Piemonte;Maschi;1
2011;Albania;Altri Paesi Europa;Puglia;Maschi;1
2011;Bangladesh;Altri paesi Asia;Provincia di Bologna;Femmine;15
2011;Bolivia;America meridionale;Provincia di Modena;Femmine;1
2011;Brasile;America meridionale;Estero;Femmine;66
2011;Brasile;America meridionale;Lazio;Femmine;1
2011;Bulgaria;Unione Europea;Umbria;Femmine;1
2011;Camerun;Altri paesi Africa;Estero;Femmine;31
2011;Camerun;Altri paesi Africa;Provincia di Bologna;Maschi;4
2011;Cina;Altri paesi Asia;Liguria;Femmine;2
2011;Cina;Altri paesi Asia;Lombardia;Femmine;20
2011;Cina;Altri paesi Asia;Piemonte;Femmine;3
2011;Cina;Altri paesi Asia;Provincia di Bologna;Femmine;10
